text,label
Cna you help with tummy hurts?,Abdominal Pain
I woke up with stomach cramps,Abdominal Pain
Can you help with red eyes?,Eye Pain
NOT SURE IF IT IS DEPRESSED OR SOMETHING ELSE,Depression
Painful sneezing on m yleft side,Allergies
IT FEELS LIKE BURNING UP,Fever
I think I have blurry vision,Eye Pain
"Help, I have skin burn",Burn
Sudden loose stools,Diarrhea
I am experiencing red eyes,Eye Pain
Chronic tooth hruts,Toothache
Mild feel like throwing up,Nausea
eSvere allergies,Allergies
Dealing with cut myself,Cut
Lately I have stomach cramps,Abdominal Pain
I have been dealing with burning throat for a week,Sore Throat
chronic pressure in chest,Chest Pain
chronic fever,Fever
Mild panic attack,Anxiety
Dealing with breakouts,Acne
I have been dealing with pain in my skull for a week,Headache
Sever ehi there,Non-Medical
complaining of fatigue,Fatigue
NOT SURE IF IT IS RED EYES OR SOMETHNIG ELSE,Eye Pain
Complaining of deperssed,Depression
Painful nervous on my left side,Anxiety
I've been having shivering,Fever
I have no motivation,Depression
feeling of urge to vomit throughout the ady,Nausea
Is haven't lsept something to worry about?,Insomnia
I can't shake this queasy,Nausea
I've been having gum pain,Toothache
My rniging in ears is getting unbearable,Earache
I woke up with ringing in ears,Earache
Suffering from cut myself,Cut
Do you think red spost is serious?,Skin Rash
Severe lower back pian,Back Pain
is tooth hurts something to worry about?,Toothache
Sudden lightheaded,Dizziness
Lately I have cut myself,Cut
Is sore throat something to worry about?,Sore Throat
Suffering from allergic reaction for 3 days,Allergies
PLEASE TELL ME WHAT TO D OABOUT FEELING FAINT,Dizziness
I can't shake thi sburned myself,Burn
"Doctor, I have loose stools",Diarrhea
I have pressure in hcest,Chest Pain
LATELY I HAVE URNNY TUMMY,Diarrhea
Please tell me what to do about how are you,Non-Medical
It satrted as a tight chest but now it's worse,Chest Pain
Painful dizzy on my left side,Dizziness
Suffering from frequent bathroom trips,Diarrhea
not sure if it is depressed or something else,Depression
I am experiencing do oyu like cars,Non-Medical
Severe pressure in chest,Chest Pain
Complaining of pain in chest,Chest Pain
Painful itchy eyes on my left side,Eye Pain
I can't shake this heart hurts,Chest Pain
Chronic tired,Fatigue
I can't shake this nausea,Nausea
I THINK I HAVE HOPELESS,Depression
Mild ctu myself,Cut
Constatn chest hurts keeps me awake,Chest Pain
Chronict esting,Non-Medical
Painful breathless on my left side,Shortness of Breath
CAN YOU HELP WITH HARD STOOL?,Constipation
i have wound,Cut
Sudden pain in chest,Chest Pain
mild feverish,Fever
Can you help with scratch?,Cut
Suffering from unsteayd for 3 days,Dizziness
It started as a loose stools but now it's worse,Diarrhea
Feeling of chest hurts throughout the day,Chest Pain
I've been having winded easily,Shortness of Breath
I've been having sore throat,Sore Throat
Painful coughing on my left side,Cough
Dealing with frqeuent bathroom trips,Diarrhea
I ame xperiencing sunburn,Burn
my pimples is getting unbearable,Acne
I think I have sharp pain in chest,Chest Pain
aCn you help with cut myself?,Cut
Can you help with wound?,Cut
"Doctor, I have bad cough",Cough
"Doctor, I have tooth hurts",Toothache
I think I have blurry vision,Eye Pain
Feeling of lightheaded throughout the day,Dizziness
dranied,Fatigue
Do you think tickle in throat is serious?,Cough
Dealing with lethargic,Fatigue
blocked ear,Earache
I can't shake this runny nose,Allergies
I think I have sneezing,Allergies
I think I have tickle in throat,Cough
Painful trouble sleeping on my left side,Insomnia
Severe hard stool,Constipation
Can you help with pressure in chets?,Chest Pain
Recurring throbbing in my head every morning,Headache
Mild panicking,Anxiety
It feels like cut myself,Cut
Can you help with can't poop?,Constipation
Feeling of frequent bathroom trips trhoughout the day,Diarrhea
Complaining of toothache,Toothache
Lately I have stiff joints,Joint Pain
"Doctor, I have dizzy",Dizziness
I am experiencing trouble sleeping,Insomnia
Do you think runny tummy is serious?,Diarrhea
Do you think ztis is serious?,Acne
Recurring blurry vision veery morning,Eye Pain
Mild cut myself,Cut
NOT SURE IF IT IS WOUND OR SOMETHING ESLE,Cut
Complaining of anxious,Anxiety
Cmoplaining of short of breath,Shortness of Breath
Suffering from pain in eye for 3 days,Eye Pain
Painful throbbing in my head on my left side,Headache
Is eye hurts something to worry about?,Eye Pain
DO YOU THINK FEELING DOWN IS SERIOUS?,Depression
Severe diarrhea,Diarrhea
Chroni ccoughing,Cough
I think I have shivering,Fever
Severe ear hurts,Earache
Can you help with worn out?,Fatigue
Feeling of dry cough throughout the day,Cough
please tell me what to do about utmmy hurts,Abdominal Pain
blocked ear,Earache
Not sure if it is pulled a muscle in my back or something else,Back Pain
Constant trouble sleeping keeps me awake,Insomnia
Suffering from nervous,Anxiety
I CAN'T SHAKE THIS COUGHING UP PHLEGM,Cough
It feels liek earache,Earache
Do you think throat is raw is serious?,Sore Throat
I have spots no face,Acne
please tell me what to do about cut myself,Cut
I think I have queasy,Nausea
I've been having contsipated,Constipation
Dealing with sore throat,Sore Throat
Severet ossing and turning,Insomnia
Not sure if it is runny tummy or something else,Diarrhea
LATELY I HAVE MY HEAD IS KILLING ME,Headache
Painful knees hurt on my lfet side,Joint Pain
Constant ringing in ears keeps me awake,Earache
IT FEELS LIKE SPOTS ON FACE,Acne
Severe pain in eye,Eye Pain
Painful tight chest on my left side,Chest Pain
tooth hurts,Toothache
i've been having pain in ear,Earache
My jointp ain is getting unbearable,Joint Pain
My problem is blocked ear,Earache
Dealing with itchy skin,Skin Rash
I have high temp,Fever
Constant feel like throwing up keeps me awake,Nausea
iwnded easily,Shortness of Breath
Complaining of skin burn,Burn
Can you help with winedd easily?,Shortness of Breath
It started as a cut my finger but now it's worse,Cut
my problem is feel like throwing up,Nausea
i have no motivation,Depression
Complaniing of coughing,Cough
Not sure if it is feeling faint or something else,Dizziness
Isp anic attack something to worry about?,Anxiety
Constant sore throat keeps me awake,Sore Throat
painful coughing on ym left side,Cough
Complaining of fatigue,Fatigue
Is feeling hot something to worry about?,Fever
I can't shake this ear hurts,Earache
I've been having bleeding,Cut
My pain in my joints is getting unbearable,Joint Pain
i have been dealing with pain when swallowing for a week,Sore Throat
I think I have feel sick,Nausea
please tell me what to do about sore throat,Sore Throat
I am experiencing sunburn,Burn
Painful blocked ear on my left side,Earache
i think i have pulled a muscle in my back,Back Pain
It started as a stress but now it's worse,Anxiety
Chronic goodbye,Non-Medical
Dealing with eye hurts,Eye Pain
I acn't shake this burning up,Fever
my wound is getting unbearable,Cut
My problem is pain when swallowing,Sore Throat
Recurring hopeless every morning,Depression
Suffering from stomach ache,Abdominal Pain
I can't shake this zits,Acne
Can you help with spots on face?,Acne
"help, i have cut myself",Cut
My problem is belly pain,Abdominal Pain
Painful sneezing o nmy left side,Allergies
IT STARTED AS A CRAMPS BUT NOW IT'S WORSE,Abdominal Pain
Severe itchy eyes,Eye Pain
I HAVE BEEN DEALING WITH SENSITIVE TEETH FOR AW EEK,Toothache
I THINK I HAVE RED EYES,Eye Pain
I woke up with unsteady,Dizziness
"Doctor, I have skin burn",Burn
It started as a my head is killing me but now it's worse,Headache
Lately I have backed up,Constipation
I have been dealing with my head is killing me for a week,Headache
i'ev been having staying awake,Insomnia
It feels like hard to breathe,Shortness of Breath
Dealing with hacking cough,Cough
severe pain in ym joints,Joint Pain
I think I have itchy eyes,Eye Pain
Do you think skin burn is serious?,Burn
It feels like cramps,Abdominal Pain
I have haven't slept,Insomnia
Sudden migraine,Headache
my problemi s constipated,Constipation
Chronic ear hurts,Earache
Please tell me what to do about chest feels tight,Shortness of Breath
Chronic nice,Non-Medical
Constant lower back pain keeps me awake,Back Pain
"Doctor, I have red spots",Skin Rash
Please tell me what to do about pain in mys kull,Headache
NOT SURE IF IT IS GOODBYE OR SOMETHING ELSE,Non-Medical
LATELY I HAVE BLOCKED EAR,Earache
I can't shake this zits,Acne
I am experiencing feeling hot,Fever
I have sick to my stomach,Nausea
Do you think randmo text is serious?,Non-Medical
Chronic tell me a joke,Non-Medical
I woke up with drained,Fatigue
I woke up with hard stool,Constipation
Recurring panicking every morning,Anxiety
Do you think feel sick is serious?,Nausea
crying a lot,Depression
Iv'e been having feeling weak,Fatigue
I think I have headache,Headache
I think I have high temp,Fever
Complaining of tired,Fatigue
CHRONIC CUT MY FINGER,Cut
Latley I have cramps,Abdominal Pain
Please tell me what to do about winedd easily,Shortness of Breath
I can't shake this pressure in chest,Chest Pain
"help, i have sharp pain in chest",Chest Pain
Feeling of blocke dear throughout the day,Earache
Is ringing in easr something to worry about?,Earache
"Help, I have feel like throwing up",Nausea
I have been dealing with tight chest for a week,Chest Pain
I am experiencing pain in eye,Eye Pain
pai nwhen swallowing,Sore Throat
Can you help with unsteady?,Dizziness
CNOSTANT FEEL LIKE THROWING UP KEEPS ME AWAKE,Nausea
Recurring ear hurts every morning,Earache
Please tell me what to do about drained,Fatigue
My problem is how are you,Non-Medical
I woke up with fever,Fever
I have been dealing with chills for a week,Fever
I think I have acne,Acne
I can't shake this belly pain,Abdominal Pain
bad cough,Cough
Complainingo f throat hurts,Sore Throat
I can't shake this coughing up phlegm,Cough
Do you think pain in chest is serious?,Chest Pain
Painufl breathless on my left side,Shortness of Breath
My chest hurts is getting unbearable,Chest Pain
RECURRING SHORT OF BREATH EVERY MORNING,Shortness of Breath
My problem is pain in ear,Earache
IS FEELING SAD SOMETHING TO WORRY ABOUT?,Depression
NOT SURE IF IT IS TIGHT CHEST OR SOMETHING ELSE,Chest Pain
Isd ry cough something to worry about?,Cough
It started as a stomach cramps but now it's worse,Abdominal Pain
My problem is who are you,Non-Medical
I have been dealing with vision problems for a week,Eye Pain
iw oke up with hacking cough,Cough
Dealing wit hlightheaded,Dizziness
Dealing with minor burn,Burn
not sure if it is burning throat or something else,Sore Throat
I have been dealing with pain in my gut for a week,Abdominal Pain
"Doctor, I have scratch",Cut
Suffering from allergic reaction for 3 days,Allergies
Suffering from chest feels tight for 3 days,Shortness of Breath
I woke up with breathless,Shortness of Breath
Recurring chest hurts every morning,Chest Pain
"doctor, i hav esunburn",Burn
Painful tummy hurts on my left side,Abdominal Pain
I woke u pwith bleeding,Cut
I think I have stomach ache,Abdominal Pain
Complaining of wuond,Cut
My upset stomach is getitng unbearable,Diarrhea
Is pressure in chest something to worry about?,Chest Pain
I've been having can't stop coughing,Cough
Lately I have upset stomach,Diarrhea
CONSTANT CONSTIPATION KEEPS ME AWAKE,Constipation
"Docotr, I have depressed",Depression
"Help, I have room is spinning",Dizziness
sudden breakouts,Acne
Sudden feeling hot,Fever
Can you help with hopeless?,Depression
COMPLAINING OF TIGHT CHEST,Chest Pain
Sudden queasy,Nausea
"Help, I have crying a lot",Depression
It started as a ear hurts but now it's worse,Earache
Suffering from arthritis pain for 3 dasy,Joint Pain
Suffering from pain in my skull,Headache
My problem ist ossing and turning,Insomnia
Not sure fi it is insomnia or something else,Insomnia
Feeling of blurry vision throughout the day,Eye Pain
Please tell me what to do about wound,Cut
Dealing with room is spinning,Dizziness
Constant stiff joints keeps me awake,Joint Pain
Suffering from panic attack for 3 days,Anxiety
It started as a pain when swallowing but now it's worse,Sore Throat
SEVERE EARACHE,Earache
Recurring pain in ea revery morning,Earache
Do you think tight chest is serious?,Chest Pain
My backed up is getting unbearable,Constipation
I've been having can't breathe,Shortness of Breath
It started as a constipation but now it's worse,Constipation
I am experiencing dizzy,Dizziness
oCmplaining of breathless,Shortness of Breath
I am experiencing itchy skin,Skin Rash
I AM EXPERIENCING FEELING WEAK,Fatigue
I've been having diarrhea,Diarrhea
I CAN'T SHAKET HIS WHAT IS THE WEATHER,Non-Medical
Recurring breathles severy morning,Shortness of Breath
It started as a red eyes but now it's worse,Eye Pain
Not sure if it is ear hurts or something else,Earache
I woke up with stiff joints,Joint Pain
Recurring itchy skin every morning,Skin Rash
Suffering from sick to my stomach for 3 days,Nausea
My short of breath i sgetting unbearable,Shortness of Breath
RECURRING PANIC ATTACK EVERY MONRING,Anxiety
It feels like constipated,Constipation
I thinkI  have skin breakout,Skin Rash
Please tell me what to do about redness on skin,Skin Rash
Sever estaying awake,Insomnia
Painful pnaicking on my left side,Anxiety
complaining of feeling weak,Fatigue
Ia m experiencing breathless,Shortness of Breath
Severe runny onse,Allergies
Chronic zits,Acne
"Docotr, I have belly pain",Abdominal Pain
Feeling of headache throughout the day,Headache
elbosw ache,Joint Pain
I have sensitive teeth,Toothache
Lately I have joint pain,Joint Pain
MILD EY EHURTS,Eye Pain
"Doctor, I have coughing up phlgem",Cough
I have been dealing with diarrhea for a week,Diarrhea
Mild can't poop,Constipation
"Help, I have itchy skin",Skin Rash
Feeling of pain when swallowing throughout the day,Sore Throat
Can you hepl with pulled a muscle in my back?,Back Pain
I think I have want to vomit,Nausea
My problem is drained,Fatigue
I am experiencing winded easily,Shortness of Breath
Complaining of pounding head,Headache
Dealing with can't stop coughing,Cough
I think I have chest feels tight,Shortness of Breath
I've been having adbominal pain,Abdominal Pain
Dealing with ear hurts,Earache
I have unsteady,Dizziness
Please tell me what to do about runny nose,Allergies
Cna you help with abdominal pain?,Abdominal Pain
I've been having spine hurts,Back Pain
I tihnk I have dizzy head,Headache
IT STARTED AS A FEELING DOWN BUT NOW IT'S WORSE,Depression
Feeling of feeling sad throughout the day,Depression
Lately I have rash,Skin Rash
MY PROBLEM IS GUMP AIN,Toothache
I have been dealing with scratch ofr a week,Cut
I've been having acne,Acne
Lately I have gum pain,Toothache
"Doctor, I have skin burn",Burn
Severe sunburn,Burn
Constant tummy hurts keeps me awake,Abdominal Pain
Mild worried sick,Anxiety
I've been having throbbing in my head,Headache
i woke up with cut myself,Cut
I have feeling efficient,Anxiety
Not sure if it is anxious or something else,Anxiety
"Doctor, I have hay fever",Allergies
Sever evertigo,Dizziness
I've been having runny tummy,Diarrhea
Complaining of blurry vision,Eye Pain
I think I have gum pain,Toothache
complaining of my head is killing me,Headache
Dealing with tummy hurts,Abdominal Pain
Can you help with allergic reaction?,Allergies
Recurring shivering every morning,Fever
It started as a feverish but now it's worse,Fever
Lately I have tried,Fatigue
Suffering from feverish,Fever
Sudden coughing up phlegm,Cough
frequent bathroom trips,Diarrhea
My scratch is getting unbearable,Cut
lately i have want to vomit,Nausea
It feels like panicking,Anxiety
Mild vertigo,Dizziness
Chronic cramps,Abdominal Pain
Lately I have burned myself,Burn
COMPLAINING OF HWAT IS YOUR NAME,Non-Medical
My problem is runny nose,Allergies
mild head hurts,Headache
Recurring pain in tooth every morning,Toothache
is insomnia something to worry about?,Insomnia
"Doctor, I have feeling weak",Fatigue
Dealing with back hurts,Back Pain
It started as a sunburn but now it's worse,Burn
Suffering from dirarhea,Diarrhea
Mild heart hurts,Chest Pain
Chronic dizzy,Dizziness
Is sunburn something to worry about?,Burn
Constant can't stop coughing keeps me awake,Cough
I have heart hurts,Chest Pain
SUDDEN STOMACH CRAMPS,Abdominal Pain
I have elbows ahce,Joint Pain
Feeling of depressed thruoghout the day,Depression
Is constipation something to worry about?,Constipation
I am experiencing vision problems,Eye Pain
Can you help with frequent bathroom trips?,Diarrhea
It started as a itchy eyes but now it's worse,Eye Pain
I cant' shake this pain in tooth,Toothache
Painful spots on face on my left side,Acne
Dealing with cut my finger,Cut
Can you help with hay fever?,Allergies
I woke up with insomnia,Insomnia
Complaining of depressed,Depression
"Help, I have minorb urn",Burn
Feelnig of unsteady throughout the day,Dizziness
I think I have can't stop coughing,Cough
I have been dealing with good morning for a week,Non-Medical
"Help, I have pulled a muscle in my back",Back Pain
It feels like sensitive teeth,Toothache
I have joint pain,Joint Pain
"Doctor, I have shivering",Fever
i have been dealing with runny nose for a week,Allergies
Recurring feel sick every morning,Nausea
I can't shake this testing,Non-Medical
Lately I have lightheaded,Dizziness
My problem is can't poop,Constipation
Suffering from staying awake for 3 days,Insomnia
lately i have lightheaded,Dizziness
Suffering from blocked ear for 3 days,Earache
I can't shake this lower back pain,Back Pain
PAINFUL PAIN IN MY GUT ON MY LEFT SIDE,Abdominal Pain
Please tell me what to do about sunburn,Burn
Recurring minor burn every morning,Burn
Suffering from cut my finger,Cut
Is backed up something to worry about?,Constipation
IT FEELS LIKE HAY FEVER,Allergies
It started as a acne but now it's worse,Acne
I have tichy bumps,Skin Rash
Constant troulbe sleeping keeps me awake,Insomnia
Not sure if it is can't stop coughing o rsomething else,Cough
I have gum pain,Toothache
Mild h ithere,Non-Medical
My spine hurt sis getting unbearable,Back Pain
I think I have hard stool,Constipation
CONSTANT WANT TO VOMIT KEEPS ME WAAKE,Nausea
Suffering from runny nose for 3 days,Allergies
I think I have itchy skin,Skin Rash
Sudden unsteady,Dizziness
Please tell me what to do about coughing up phlegm,Cough
I've been having panic attakc,Anxiety
Chronic itchy bumps,Skin Rash
My problem is winded easily,Shortness of Breath
Feeling of exhausted throughout the day,Fatigue
I think I have vision problems,Eye Pain
Please tel lme what to do about scratchy throat,Sore Throat
"Help, I have pain in m yjoints",Joint Pain
My problem is upset stomach,Diarrhea
oCnstant coughing keeps me awake,Cough
Can you help with can't breathe?,Shortness of Breath
Constant belly pain keeps me awake,Abdominal Pain
Not sure if it is no energy or something else,Fatigue
Feeling of pimples throughout the day,Acne
I have been dealing with stomach ache for a week,Abdominal Pain
I'ev been having crying a lot,Depression
It started as a pimples but now it's worse,Acne
Can you help wiht vision problems?,Eye Pain
chronic sunburn,Burn
It started as a acne but now it's worse,Acne
sudden backed up,Constipation
pain in chest,Chest Pain
i am experiencing burned myself,Burn
Suffering from abdominal pain,Abdominal Pain
I can't shake this gasping for air,Shortness of Breath
My pulled a muscle in my back is getting unbearable,Back Pain
Not sure if it is wound or something else,Cut
I think I have pani when swallowing,Sore Throat
Please tell me what to do about burend myself,Burn
Is elbows ache something to worry about?,Joint Pain
Suffering from how are you,Non-Medical
okay,Non-Medical
I woke up wit hbleeding,Cut
Is feverish something to worry about?,Fever
Can you help with red spots?,Skin Rash
It feels like nervous,Anxiety
cut myself,Cut
Severe loose stools,Diarrhea
Feelign of insomnia throughout the day,Insomnia
Not sure if it is pian in ear or something else,Earache
MILD FREQUENT BATHROOM TRIPS,Diarrhea
i've eben having cut my finger,Cut
Can you help with stiff joints?,Joint Pain
Suffering from cut my finger for 3 days,Cut
Severe stomach upset,Nausea
Recurring tight chest every morning,Chest Pain
DEALING WITH CHEST HURTS,Chest Pain
I ahve been dealing with sharp pain in chest for a week,Chest Pain
Do you think can't breathe is serious?,Shortness of Breath
Painufl trouble sleeping on my left side,Insomnia
 Iam experiencing stomach cramps,Abdominal Pain
Iw oke up with burned myself,Burn
Not sure if it is dry cough or somtehing else,Cough
Painful exhausted on my left side,Fatigue
Lately I have migraine,Headache
feeling sad,Depression
Ia m experiencing trouble sleeping,Insomnia
Not sure if it is allegries or something else,Allergies
IS ITCHY SKIN SOMETHING TO WORRY ABOUT?,Skin Rash
"Help, I have rendess on skin",Skin Rash
I have been dealing with nausea for a week,Nausea
I've been having lethargic,Fatigue
Please tell me what to do about feel like throwing up,Nausea
Suffering from exhausted,Fatigue
"Doctor, I have winded aesily",Shortness of Breath
Lately I have depressed,Depression
Can you help with tooth hurts?,Toothache
i woke up with belly pain,Abdominal Pain
Painful tooth hurts o nmy left side,Toothache
"Help, I have allergies",Allergies
It feels like pain in my back,Back Pain
Sudden tooth hurts,Toothache
I have been dealing with throat is raw for a week,Sore Throat
is pain in eye something to worry about?,Eye Pain
i can't shake thiso kay,Non-Medical
Do you think gum pain is serious?,Toothache
Midl fever,Fever
Suffering from itchy bumps for 3 days,Skin Rash
I can't shake this pain in my skull,Headache
Complaining of sore throat,Sore Throat
I am experiencing pain when swallowing,Sore Throat
I've been having fatigue,Fatigue
